Full Name,Roll Number,Gender,Father's Full Name,Mother's Full Name,Department,Specialization,Contact Number,Aadhar Number,Year of Study
Pradeep,19Z01,M,devaraj,A,CSE,computer,9999999999,9999999999,1
naveen,19Z02,M,raj,B,EEE,computer,9999999999,9999999999,2
kartick,19Z03,M,ramesh,C,ECE,computer,9999999999,9999999999,3
praveen,19Z04,M,kumaresh,D,MECH,computer,9999999999,9999999999,3
arun,19Z05,M,arjun,E,CSE,computer,9999999999,9999999999,2
ravi,19Z06,M,melvin,F,EEE,computer,9999999999,9999999999,1
pavi,19Z07,F,harish,G,ECE,computer,9999999999,9999999999,1
vishnu,19z08,M,deepak,I,CSE,computer,9999999999,9999999999,2
Pradeep,19Z09,M,devaraj,A,CSE,computer,9999999999,9999999999,1
naveen,19Z02,M,raj,B,EEE,computer,9999999999,9999999999,2
kartick,19Z03,M,ramesh,C,ECE,computer,9999999999,9999999999,3
praveen,19Z04,M,kumaresh,D,MECH,computer,9999999999,9999999999,3
arun,19Z05,M,arjun,E,CSE,computer,9999999999,9999999999,2
ravi,19Z06,M,melvin,F,EEE,computer,9999999999,9999999999,1
pavi,19Z07,F,harish,G,ECE,computer,9999999999,9999999999,1
vishnu,19z08,M,deepak,I,CSE,computer,9999999999,9999999999,2
Pradeep,19Z01,M,devaraj,A,CSE,computer,9999999999,9999999999,1
naveen,19Z02,M,raj,B,EEE,computer,9999999999,9999999999,2
kartick,19Z03,M,ramesh,C,ECE,computer,9999999999,9999999999,3
praveen,19Z04,M,kumaresh,D,MECH,computer,9999999999,9999999999,3
arun,19Z05,M,arjun,E,CSE,computer,9999999999,9999999999,2
ravi,19Z06,M,melvin,F,EEE,computer,9999999999,9999999999,1
pavi,19Z07,F,harish,G,ECE,computer,9999999999,9999999999,1
vishnu,19z08,M,deepak,I,CSE,computer,9999999999,9999999999,2
Pradeep,19Z01,M,devaraj,A,CSE,computer,9999999999,9999999999,1
naveen,19Z02,M,raj,B,EEE,computer,9999999999,9999999999,2
kartick,19Z03,M,ramesh,C,ECE,computer,9999999999,9999999999,3
praveen,19Z04,M,kumaresh,D,MECH,computer,9999999999,9999999999,3
arun,19Z05,M,arjun,E,CSE,computer,9999999999,9999999999,2
ravi,19Z06,M,melvin,F,EEE,computer,9999999999,9999999999,1
pavi,19Z07,F,harish,G,ECE,computer,9999999999,9999999999,1
vishnu,19z08,M,deepak,I,CSE,computer,9999999999,9999999999,2
Pradeep,19Z01,M,devaraj,A,CSE,computer,9999999999,9999999999,1
naveen,19Z02,M,raj,B,EEE,computer,9999999999,9999999999,2
kartick,19Z03,M,ramesh,C,ECE,computer,9999999999,9999999999,3
praveen,19Z04,M,kumaresh,D,MECH,computer,9999999999,9999999999,3
arun,19Z05,M,arjun,E,CSE,computer,9999999999,9999999999,2
ravi,19Z06,M,melvin,F,EEE,computer,9999999999,9999999999,1
pavi,19Z07,F,harish,G,ECE,computer,9999999999,9999999999,1
vishnu,19z08,M,deepak,I,CSE,computer,9999999999,9999999999,2
Pradeep,19Z01,M,devaraj,A,CSE,computer,9999999999,9999999999,1
naveen,19Z02,M,raj,B,EEE,computer,9999999999,9999999999,2
kartick,19Z03,M,ramesh,C,ECE,computer,9999999999,9999999999,3
praveen,19Z04,M,kumaresh,D,MECH,computer,9999999999,9999999999,3
arun,19Z05,M,arjun,E,CSE,computer,9999999999,9999999999,2
ravi,19Z06,M,melvin,F,EEE,computer,9999999999,9999999999,1
pavi,19Z07,F,harish,G,ECE,computer,9999999999,9999999999,1
vishnu,19z08,M,deepak,I,CSE,computer,9999999999,9999999999,2
Pradeep,19Z01,M,devaraj,A,CSE,computer,9999999999,9999999999,1
naveen,19Z02,M,raj,B,EEE,computer,9999999999,9999999999,2
kartick,19Z03,M,ramesh,C,ECE,computer,9999999999,9999999999,3
praveen,19Z04,M,kumaresh,D,MECH,computer,9999999999,9999999999,3
arun,19Z05,M,arjun,E,CSE,computer,9999999999,9999999999,2
ravi,19Z06,M,melvin,F,EEE,computer,9999999999,9999999999,1
pavi,19Z07,F,harish,G,ECE,computer,9999999999,9999999999,1
vishnu,19z08,M,deepak,I,CSE,computer,9999999999,9999999999,2
